epoch,train_nll,valid_nll,test_nll,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_auc,valid_auc,test_auc,train_auprc,valid_auprc,test_auprc,train_mse_oob,valid_mse_oob,test_mse_oob
34,0.003062583874122916,0.0061573277798692315,0.0061573277798692315,0.0008695034714163773,0.001422685241415636,0.001422685241415636,0.002330077581480426,0.004217024833481098,0.004217024833481098,,,,,,,0.3484607150862451,0.19027131116399998,0.19027131116399998
35,0.002801486297670682,0.005424339460992524,0.005424339460992524,0.0006124974535108624,0.0008584608602664673,0.0008584608602664673,0.001952148914145244,0.003275758488642467,0.003275758488642467,,,,,,,0.3072442370294874,0.15668100470561727,0.15668100470561727
36,0.0028283759980011268,0.005947717877895299,0.005947717877895299,0.00034902092455869037,0.00045679288214741634,0.00045679288214741634,0.0014717558922356605,0.0023895248582246633,0.0023895248582246633,,,,,,,0.26773290810495476,0.12470305964185133,0.12470305964185133
37,0.0024235741814134155,0.004469818858397976,0.004469818858397976,0.00017962413753131834,0.00022474060059481834,0.00022474060059481834,0.0010549937529839393,0.0016760799111713276,0.0016760799111713276,,,,,,,0.21443777756894256,0.1044157807563976,0.1044157807563976
38,0.002321223202221991,0.0074968726169066455,0.0074968726169066455,8.563547786781009e-05,0.00011368824380212963,0.00011368824380212963,0.0007283893956204024,0.0011921002077596604,0.0011921002077596604,,,,,,,0.15889291195054456,0.08228218784064423,0.08228218784064423
39,0.002883156901531993,0.004126591315576555,0.004126591315576555,4.528145781805198e-05,6.430222486924823e-05,6.430222486924823e-05,0.0005306359738085341,0.00089652782453404,0.00089652782453404,,,,,,,0.1191144539005057,0.06150197519146396,0.06150197519146396
40,0.0019147801541610481,0.003438702001639407,0.003438702001639407,2.7952463322425456e-05,4.300487985708536e-05,4.300487985708536e-05,0.00041764946034695356,0.00073314795905532,0.00073314795905532,,,,,,,0.0919792823437204,0.055796409651581724,0.055796409651581724
41,0.0015531955614837534,0.0032740025523038396,0.0032740025523038396,1.9690518885886152e-05,3.4760801598394744e-05,3.4760801598394744e-05,0.00035057069191905203,0.0006591233253033256,0.0006591233253033256,,,,,,,0.08252880653425765,0.0541154522661824,0.0541154522661824
42,0.0011541108411591114,0.0023717685972575063,0.0023717685972575063,1.6564133275263814e-05,3.147421528224176e-05,3.147421528224176e-05,0.000321647227289739,0.0006271625884689191,0.0006271625884689191,,,,,,,0.0779346368721729,0.052508120117622896,0.052508120117622896
43,0.0006851038536414276,0.0017654203776933796,0.0017654203776933796,1.5431324741673807e-05,2.9652156613454613e-05,2.9652156613454613e-05,0.0003105464413751305,0.0006087238010617248,0.0006087238010617248,,,,,,,0.07531557155968775,0.0447100754012864,0.0447100754012864
44,0.002054971349402415,0.025202126805559732,0.025202126805559732,1.6532310173707675e-05,6.442559566677314e-05,6.442559566677314e-05,0.0003206457686499316,0.0008973739352162119,0.0008973739352162119,,,,,,,0.07268740355254734,0.04523934788774005,0.04523934788774005
45,0.0053782380219765,0.0022040569986021053,0.0022040569986021053,2.9872772581949006e-05,5.089061655644419e-05,5.089061655644419e-05,0.0004298119719808242,0.0007974001059469318,0.0007974001059469318,,,,,,,0.08302299248161904,0.09923051004584829,0.09923051004584829
46,0.0013623325414250389,0.003979587471171721,0.003979587471171721,3.139722050498247e-05,8.839650109943473e-05,8.839650109943473e-05,0.0004410342984303122,0.0010509371351982888,0.0010509371351982888,,,,,,,0.15484219973781194,0.12795051473768554,0.12795051473768554
47,0.0018989311876355382,0.003956176455485537,0.003956176455485537,4.396216261323255e-05,7.982761044773151e-05,7.982761044773151e-05,0.000524059645337235,0.000998691967587887,0.000998691967587887,,,,,,,0.22825381136479014,0.14760766736593503,0.14760766736593503
48,0.001763715704433144,0.003377830316223835,0.003377830316223835,3.52918992291134e-05,5.744851584654233e-05,5.744851584654233e-05,0.00046921191794007294,0.0008470631088581947,0.0008470631088581947,,,,,,,0.2885520933258616,0.15924881565680393,0.15924881565680393
49,0.0014368040525934889,0.0024412201177278275,0.0024412201177278275,2.5301374349497995e-05,3.6890476116605215e-05,3.6890476116605215e-05,0.0003971013504150524,0.0006782958911856441,0.0006782958911856441,,,,,,,0.3343324272284924,0.1741787246423341,0.1741787246423341
50,0.0009068369611341285,0.0012011992527833372,0.0012011992527833372,1.5800198214476978e-05,2.3348992575238866e-05,2.3348992575238866e-05,0.0003135690910385404,0.0005384713610281545,0.0005384713610281545,,,,,,,0.3718572473821129,0.18914847420791522,0.18914847420791522
51,0.00023491544174265058,-0.0003431840142192992,-0.0003431840142192992,1.0372810356769348e-05,1.436765325413539e-05,1.436765325413539e-05,0.00025407909175089263,0.0004192647150087253,0.0004192647150087253,,,,,,,0.40308267288765376,0.20293918126352833,0.20293918126352833
